Membership No  Date Joined  Active  
    71565      2019-1-3     yes   
    82901      2019-10-20   yes   
    85775      2016-7-25    no    
    14769      2017-11-10   no    
    36721      2020-4-13    yes   
    12525      2017-3-17    yes   
    34200      2015-4-15    no    
    20710      2020-10-24   yes   
    85629      2020-12-21   no    
    81610      2016-5-24    no    
    88544      2017-4-3     yes   
    92929      2019-1-17    yes   
    23122      2016-8-6     no    
    46426      2017-12-2    yes   
    36291      2016-9-6     no    
    22219      2015-3-2     yes   
    80408      2017-2-24    yes   
    22137      2018-6-8     yes   
    18569      2019-8-3     yes   
    70325      2016-9-3     yes   
