Membership No  Date Joined  Active  
    71590      2019-3-12    yes   
    23927      2016-3-11    no    
    83757      2016-10-8    no    
    40900      2018-12-7    yes   
    38066      2020-1-5     no    
    10400      2019-10-16   no    
    50063      2020-7-11    yes   
    12600      2018-4-22    no    
    71175      2020-7-3     yes   
    53482      2019-10-9    no    
    52901      2016-9-21    yes   
    25614      2015-11-16   no    
    92235      2016-2-10    yes   
    45567      2015-1-17    no    
    34041      2017-1-20    no    
    81131      2018-2-8     yes   
    70590      2015-1-1     yes   
    24859      2020-7-22    no    
    66640      2019-7-22    no    
    39967      2018-8-20    no    
